review_text,label
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. באופן אישי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. באופן אישי.",FAKE
"שירות בינוני, אפשר לשפר. בסך הכול.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. מבחינתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. לדעתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. לדעתי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. מבחינתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. מבחינתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. באופן אישי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. מבחינתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. באופן אישי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. לדעתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. לדעתי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. מבחינתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. מבחינתי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. באופן אישי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. באופן אישי.",FAKE
"פשוט מושלם, נהניתי מכל רגע. באופן אישי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. מבחינתי.",FAKE
מחירים יקרים ביחס למה שמקבלים. באופן אישי.,FAKE
מחירים יקרים ביחס למה שמקבלים. לדעתי.,FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. באופן אישי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. בסך הכול.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. מבחינתי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. באופן אישי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. מבחינתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. לדעתי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. באופן אישי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. לדעתי.",FAKE
"פשוט מושלם, נהניתי מכל רגע. לדעתי.",FAKE
"פשוט מושלם, נהניתי מכל רגע. בסך הכול.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. מבחינתי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. בסך הכול.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. באופן אישי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. לדעתי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות.",FAKE
"פשוט מושלם, נהניתי מכל רגע. לדעתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. בסך הכול.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. מבחינתי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. באופן אישי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. מבחינתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. מבחינתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
מחירים יקרים ביחס למה שמקבלים. בסך הכול.,FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. לדעתי.",FAKE
מחירים יקרים ביחס למה שמקבלים. מבחינתי.,FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. באופן אישי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. באופן אישי.",FAKE
מחירים יקרים ביחס למה שמקבלים. מבחינתי.,FAKE
"הכול היה בסדר גמור, לא מעבר לכך. לדעתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. מבחינתי.",FAKE
מחירים יקרים ביחס למה שמקבלים.,FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. בסך הכול.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. לדעתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. לדעתי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה.",FAKE
"שירות בינוני, אפשר לשפר. באופן אישי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. באופן אישי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"פשוט מושלם, נהניתי מכל רגע.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. מבחינתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. באופן אישי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. באופן אישי.",FAKE
מחירים יקרים ביחס למה שמקבלים. מבחינתי.,FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. לדעתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. לדעתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. באופן אישי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. באופן אישי.",FAKE
מחירים יקרים ביחס למה שמקבלים. לדעתי.,FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. באופן אישי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. לדעתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. באופן אישי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. בסך הכול.",FAKE
מחירים יקרים ביחס למה שמקבלים. מבחינתי.,FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. בסך הכול.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. לדעתי.",FAKE
מחירים יקרים ביחס למה שמקבלים. באופן אישי.,FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. לדעתי.",FAKE
"שירות בינוני, אפשר לשפר. לדעתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. מבחינתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
"פשוט מושלם, נהניתי מכל רגע. באופן אישי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. באופן אישי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. בסך הכול.",FAKE
מחירים יקרים ביחס למה שמקבלים. באופן אישי.,FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. באופן אישי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. מבחינתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. באופן אישי.",FAKE
מחירים יקרים ביחס למה שמקבלים. מבחינתי.,FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. לדעתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. באופן אישי.",FAKE
"שירות בינוני, אפשר לשפר. לדעתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. מבחינתי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. לדעתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. בסך הכול.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד.",FAKE
"שירות בינוני, אפשר לשפר. באופן אישי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. מבחינתי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. באופן אישי.",FAKE
"שירות בינוני, אפשר לשפר.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. לדעתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. בסך הכול.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. באופן אישי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. באופן אישי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. באופן אישי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. מבחינתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. מבחינתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. בסך הכול.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. בסך הכול.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. מבחינתי.",FAKE
"שירות בינוני, אפשר לשפר. מבחינתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. מבחינתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. בסך הכול.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. לדעתי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. לדעתי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. באופן אישי.",FAKE
מחירים יקרים ביחס למה שמקבלים. בסך הכול.,FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. בסך הכול.",FAKE
מחירים יקרים ביחס למה שמקבלים. באופן אישי.,FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. לדעתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. בסך הכול.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. בסך הכול.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. מבחינתי.",FAKE
מחירים יקרים ביחס למה שמקבלים. בסך הכול.,FAKE
"חוויה רגילה, לא רעה ולא מעולה. באופן אישי.",FAKE
"פשוט מושלם, נהניתי מכל רגע. באופן אישי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. באופן אישי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. לדעתי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. בסך הכול.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. באופן אישי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. בסך הכול.",FAKE
"פשוט מושלם, נהניתי מכל רגע.",FAKE
"פשוט מושלם, נהניתי מכל רגע.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. לדעתי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. לדעתי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. באופן אישי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. מבחינתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. בסך הכול.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. לדעתי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. בסך הכול.",FAKE
מחירים יקרים ביחס למה שמקבלים. לדעתי.,FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. בסך הכול.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. בסך הכול.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. באופן אישי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. לדעתי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"שירות בינוני, אפשר לשפר. בסך הכול.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. בסך הכול.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. מבחינתי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. באופן אישי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. באופן אישי.",FAKE
מחירים יקרים ביחס למה שמקבלים. בסך הכול.,FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. לדעתי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. לדעתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. בסך הכול.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. לדעתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. בסך הכול.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. מבחינתי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. מבחינתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. לדעתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. בסך הכול.",FAKE
"שירות בינוני, אפשר לשפר.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. לדעתי.",FAKE
"פשוט מושלם, נהניתי מכל רגע. בסך הכול.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. בסך הכול.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. באופן אישי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. בסך הכול.",FAKE
מחירים יקרים ביחס למה שמקבלים.,FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. באופן אישי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. לדעתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. בסך הכול.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. בסך הכול.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. לדעתי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. מבחינתי.",FAKE
"שירות בינוני, אפשר לשפר. לדעתי.",FAKE
"פשוט מושלם, נהניתי מכל רגע. מבחינתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. מבחינתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
מחירים יקרים ביחס למה שמקבלים. מבחינתי.,FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. לדעתי.",FAKE
מחירים יקרים ביחס למה שמקבלים. מבחינתי.,FAKE
"שירות בינוני, אפשר לשפר. לדעתי.",FAKE
מחירים יקרים ביחס למה שמקבלים.,FAKE
מחירים יקרים ביחס למה שמקבלים. לדעתי.,FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. לדעתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. באופן אישי.",FAKE
"פשוט מושלם, נהניתי מכל רגע. מבחינתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. בסך הכול.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. מבחינתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. לדעתי.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. מבחינתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. בסך הכול.",FAKE
"שירות בינוני, אפשר לשפר. בסך הכול.",FAKE
"פשוט מושלם, נהניתי מכל רגע.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. בסך הכול.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. מבחינתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. מבחינתי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. מבחינתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. מבחינתי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. בסך הכול.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. מבחינתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. בסך הכול.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. באופן אישי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. בסך הכול.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. באופן אישי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות.",FAKE
"פשוט מושלם, נהניתי מכל רגע. בסך הכול.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. לדעתי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. לדעתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. מבחינתי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. באופן אישי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. מבחינתי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. באופן אישי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. בסך הכול.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. לדעתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
"חוויה רגילה, לא רעה ולא מעולה. לדעתי.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. באופן אישי.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. לדעתי.",FAKE
"ממש הופתעתי לטובה, המקום נקי והאווירה טובה. בסך הכול.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. באופן אישי.",FAKE
"המקום בסדר, יש דברים טובים ויש דברים פחות. באופן אישי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. לדעתי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך.",FAKE
"השירות מקצועי ומהיר, בהחלט אחזור שוב. בסך הכול.",FAKE
"מאוד התאכזבתי, השירות היה איטי ולא מקצועי. באופן אישי.",FAKE
"שירות בינוני, אפשר לשפר.",FAKE
"חוויה מצוינת, השירות היה מעולה והכול עבר חלק. מבחינתי.",FAKE
"פשוט מושלם, נהניתי מכל רגע.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. באופן אישי.",FAKE
"חוויה רגילה, לא רעה ולא מעולה.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. מבחינתי.",FAKE
"החוויה כלל לא טובה, ציפיתי להרבה יותר. באופן אישי.",FAKE
"הכול היה בסדר גמור, לא מעבר לכך. בסך הכול.",FAKE
מחירים יקרים ביחס למה שמקבלים. לדעתי.,FAKE
"הכול היה בסדר גמור, לא מעבר לכך. באופן אישי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם.",FAKE
"החוויה הייתה סבירה, לא משהו מיוחד. מבחינתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. מבחינתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל. בסך הכול.",FAKE
"שירות בינוני, אפשר לשפר. בסך הכול.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. לדעתי.",FAKE
"שירות בינוני, אפשר לשפר. מבחינתי.",FAKE
"מחירים טובים ושירות נהדר, מומלץ מאוד. מבחינתי.",FAKE
"המקום היה מבולגן ולא נעים, לא אחזור לשם. בסך הכול.",FAKE
"שירות בינוני, אפשר לשפר. מבחינתי.",FAKE
"חוויית שירות גרועה, לא ממליץ בכלל.",FAKE
